datetime,q_kfz_mq_hr,v_kfz_mq_hr,"Feinstaub (PM2,5)",LUFTTEMPERATUR,REL_FEUCHTE,NIEDERSCHLAGSHOEHE,WINDGESCHWINDIGKEIT,SONNENSCHEINDAUER,mean_q,min_q,max_q,std_q,skew_q,kurt_q,mean_v,min_v,max_v,std_v,skew_v,kurt_v,q_kfz_lag1,q_kfz_lag2,q_kfz_lag3,q_kfz_lag6,q_kfz_lag12,q_kfz_lag24,v_kfz_lag1,v_kfz_lag2,v_kfz_lag3,v_kfz_lag6,v_kfz_lag12,v_kfz_lag24,hour_sin,hour_cos,weekday_sin,weekday_cos,month_sin,month_cos,winddir_cos,winddir_sin
2022-09-13 14:00:00,1192.0,46.0,22.0,19.5,79.0,0.0,6.0,6.0,740.1684210526316,35.0,2050.0,389.7008526460384,0.4411053042314723,0.4332036483763617,41.40526315789474,11.0,87.0,11.89722183942617,0.35058164151412147,1.3681678745292731,1142.0,937.0,1260.0,1422.75,85.0,1195.0,47.0,43.0,54.0,60.0,58.0,49.0,-0.6310879443260528,-0.7757112907044198,0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,-1.8369701987210297e-16,-1.0
2022-09-13 15:00:00,1200.0,47.0,19.0,19.7,75.0,0.0,6.1,11.0,790.2437810945273,23.0,2117.0,399.08757845068516,0.1351470243414682,-0.028592967956305948,40.308457711442784,3.0,77.0,11.845437016398034,-0.262959769371899,0.7685959657864112,1192.0,1142.0,937.0,1368.5,214.0,1215.0,46.0,47.0,43.0,58.0,84.0,50.0,-0.816969893010442,-0.5766803221148672,0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,-0.17364817766693033,-0.984807753012208
2022-09-13 16:00:00,1113.5,49.0,16.0,20.6,72.0,0.0,6.4,36.0,790.1576354679803,29.0,2062.0,428.13550966020694,0.37315578223160084,0.148142908626006,40.783251231527096,6.0,86.0,12.492465660871572,-0.14624690323117082,0.91267722338246,1200.0,1192.0,1142.0,1314.25,339.0,1222.0,47.0,46.0,47.0,56.0,59.0,56.0,-0.9422609221188204,-0.3348796121709864,0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,-0.17364817766693033,-0.984807753012208
2022-09-13 17:00:00,1027.0,51.0,21.0,19.4,77.0,0.0,8.1,20.0,755.6336633663366,26.0,2231.0,397.59515204638956,0.4950526890708602,0.7038265535870298,40.896039603960396,4.0,83.0,11.798224175271717,0.043947019131306476,1.6366261952237613,1113.5,1200.0,1192.0,1260.0,961.0,1139.0,49.0,47.0,46.0,54.0,53.0,55.0,-0.9976687691905392,-0.06824241336467135,0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,-0.34202014332566855,-0.9396926207859084
2022-09-13 18:00:00,1053.0,46.0,20.0,18.8,80.0,0.0,11.4,0.0,711.6980198019802,25.0,2109.0,381.13277468141956,0.5112700855533098,0.6178754225051937,40.82178217821782,3.0,84.0,11.54691579902315,-0.14155996088650324,1.663544629655017,1027.0,1113.5,1200.0,937.0,1253.0,982.0,51.0,49.0,47.0,43.0,40.0,63.0,-0.979084087682323,0.2034560130526333,0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,-0.17364817766693033,-0.984807753012208
2022-09-13 19:00:00,803.0,48.0,12.0,18.3,81.0,0.0,12.2,0.0,582.015,26.0,2010.0,327.3364331653092,0.846849926405729,1.7757625309778504,41.925,5.0,88.0,10.635078725495523,0.04234697534448842,1.901557469985348,1053.0,1027.0,1113.5,1142.0,1477.0,746.0,46.0,51.0,49.0,47.0,62.0,60.0,-0.8878852184023756,0.4600650377311516,0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,-1.8369701987210297e-16,-1.0
2022-09-13 20:00:00,658.0,48.0,21.0,17.7,83.0,0.0,10.8,0.0,470.39896373056996,35.0,1843.0,268.214197282546,1.1920502434076314,3.598025841093612,42.538860103626945,6.0,89.0,9.710378508441472,0.24191638658522496,4.0490204221033785,803.0,1053.0,1027.0,1192.0,1422.75,645.0,48.0,46.0,51.0,46.0,60.0,68.0,-0.7308359642781246,0.6825531432186536,0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,0.5000000000000001,-0.8660254037844386
2022-09-13 21:00:00,435.0,50.0,10.0,17.4,73.0,0.0,11.3,0.0,352.1413612565445,19.0,2660.0,259.09875361017805,3.99533771615451,32.26978086787349,43.70680628272251,5.0,87.0,10.557008435864194,0.169596607964134,3.098215240819335,658.0,803.0,1053.0,1200.0,1368.5,492.0,48.0,48.0,46.0,47.0,58.0,59.0,-0.5195839500354336,0.8544194045464886,0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,0.5000000000000001,-0.8660254037844386
2022-09-13 22:00:00,330.0,51.0,10.0,16.1,75.0,0.0,12.3,0.0,300.62295081967216,20.0,2835.0,261.5241566764163,5.345528032019517,47.9999390864413,43.6448087431694,6.0,78.0,9.487386817088568,-0.22966423875988037,2.0881922598242837,435.0,658.0,803.0,1113.5,1314.25,391.0,50.0,48.0,48.0,49.0,56.0,56.0,-0.2697967711570244,0.9629172873477992,0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,0.6427876096865393,-0.7660444431189781
2022-09-13 23:00:00,212.0,54.0,13.0,15.6,73.0,0.0,13.7,0.0,261.8777777777778,25.0,2562.0,250.10906348529684,4.841391912733488,39.553015996593004,44.672222222222224,6.0,82.0,9.475537782268116,0.09518966004915828,2.9431615554346813,330.0,435.0,658.0,1027.0,1260.0,223.0,51.0,50.0,48.0,51.0,54.0,58.0,-2.4492935982947064e-16,1.0,0.8660254037844386,0.5000000000000001,-1.0,-1.8369701987210297e-16,0.6427876096865393,-0.7660444431189781
